Drone ID,Flight Radius,Flight height,Thermal/Night Camera,Max wind resistance,Camera Quality,ISO range,Battery Life,Payload Capacity,Dimensions,Real-time data transmission,Transmission bandwidth,Data storage ability,Air/Water quality sensor availability,Noise level,Operating Temperature,Class Identification Label,Charging Time,Automatic Landing/Takeoff,GPS Supported Systems,Automated Path Finding,Budgets options
PowerVision Hydreigon 5000w,7.1249242611788475,656.9880289579969,1,4.328738558277953,4K,1600,119.02400509610322,17.13320853454817,1060.7864070239755,0,0.0,1024,0,63.88167736981202,16.0066607368663,C2,71.23275337119993,0,GPS+BeiDou,0,8225.28
Parrot Clawitzer 5000M,6.836154748906184,361.35397161960844,0,9.169117961463302,720p,400,72.56079973588398,9.298564020248154,3065.9728291544566,1,32.972932471464645,8,0,83.61815604286316,-9.738870266079934,C3,231.5789084034202,0,GPS+BeiDou,1,6456.37
3DR Skarmory 10000U,9.46620896646696,718.1042389007075,0,9.310168423111826,4K,12800,446.6082132256866,25.602885023002926,11388.936301003314,0,0.0,1024,0,45.082129693783585,-0.9434261468334775,C4,133.51188279990043,0,GPS+BeiDou,1,11281.81
AeroVironment Frosmoth 100M,9.132312556125656,631.9986757875138,0,7.609318688130873,720p,200,481.7459092839104,12.000864165962822,10089.698582091432,0,0.0,8,0,49.43120414576342,4.561975990947431,C1,187.8391422016486,1,GPS+GLONASS,0,6348.02
Walkera Volcarona 5000M,0.5125490950100942,967.8362170340515,1,6.687345494746816,1080p,6400,490.1915738950647,9.306070626014932,3377.910724969383,0,0.0,8,1,70.14138984558218,36.07226537769595,C2,129.53829507943894,0,GPS+GLONASS,0,7816.23
Parrot Accelgor 100m,3.80315483118956,288.6033485408297,0,8.742591590575529,1080p,400,591.7839259758326,26.992295827773965,18836.98771660367,0,0.0,16,0,77.62674617770108,-3.7226440165517083,C1,153.38343361409454,0,GPS+Galileo,1,8739.16
Teledyne FLIR Galvantula 100e,5.638565420585369,253.93109578835168,1,7.351560425136464,1080p,6400,467.1189867729795,10.822658674932173,15715.64239439352,0,0.0,512,0,38.10704111811983,22.802742304470634,C1,152.66918603855973,1,GPS,1,8568.31
Holy Stone Rotom 200f,1.3257374045597303,86.74317095011902,0,2.382940909083609,480p,3200,470.94611988172517,10.967150799436343,7682.225884175768,1,36.817076906609095,64,0,52.234696224863725,38.8003426865722,C3,235.77612466265143,0,GPS+BeiDou,1,4671.11
Skydio Volcarona 2000M,5.751352859608247,893.1547349583956,1,2.7015782526013434,720p,6400,528.5344073578555,24.123577752216537,15470.562718613448,1,23.598059857016604,128,1,70.48868725121051,40.80789877829855,C0,170.3709560776156,1,GPS,1,13401.26
Walkera Metagross 300U,3.2256774763771823,44.199568577313,1,3.521382869305466,1080p,100,519.0976512013044,6.145014118837057,13472.195548296088,0,0.0,1024,0,67.76435431598586,20.99942408622276,C2,80.35158903000247,0,GPS+Galileo,0,5960.93
